B-AD,The Master's in Business podcast is brought to you by Invesco
I-AD,every day at Invesco we bring together ideas with technology data with inspiration and investors with solutions .
I-AD,Let's invest in greater possibilities together find out more at Invesco dot.com slash together .
E-AD,This is masters in business with Barry Ritholtz on Bloomberg Radio .
O,This week on the podcast .
O,I have an extra special guest and what can I say about Professor Scott Galloway .
O,You know him from the floor .
O,He is an outspoken critic of various technology companies .
O,He says exactly what he thinks and feels he does not mince words .
O,He has a brand new book out called The Algebra of happiness that is already getting delightful reviews .
O,I read it over the holiday weekend and found it to be a pleasant and enjoyable romp filled with all sorts of good advices .
O,This is going to be a stocking stuffer .
O,Any dads and grads present for some time to come .
O,I can babble for a long time explaining to you what's in our conversation but rather than do that I'm just going to say with no further ado my conversation with Scott Galloway .
O,Our special guest this week is our returning champion .
O,Our first four time Masters in Business . Guest you know him from his book The Four Amazon Apple Google and Facebook and how they're destroying the world .
O,He is a professor at marketing at NYU Stern School of Business .
O,His latest book The Algebra of happiness just came out to great reviews .
O,Professor Scott Galloway welcome to Bloomberg .
O,Thanks very great to be here .
O,And you are a returning champion .
O,You are our first four time guest at least here in the studio and you are the first person I think I've had on consecutive books .
O,No that's not true .
O,I've had a few people four consecutive books so let's start .
O,Yes with a little background .
O,You wrote the Four .
O,It was effectively a class you were giving it .
O,And are you looking at marketing and technology or else about that .
O,Sir the dirty secret of business school is that the second year is mostly a racket to try and get double the tuition because you really just need the first year .
O,And by the way that's the same racket with law school you really only need the first two years to the third year is gravy
O,50 percent more revenue for us one hundred zero revenue
O,in my belief is that if we honest we would focus on the kids economic security we would teach for courses the second year Amazon Apple Facebook and Google .
O,Because to understand those four companies is to understand media retail the economy society et cetera .
O,So I teach a session of my class called before I do a video on that class that gets a million views Moon book my most
O,by the way . That's how I found you was the Four Horsemen of the Internet .
O,I was one of your first videos .
O,You know I'm like Who is this guy .
O,This is really fascinating stuff .
O,Yeah .
O,That that's all I got at one point one million views approached by Penguin Portfolio Random House which rolls right off the top .
O,Great success .
O,It's encouraging when you're when your publisher can get their name right .
O,But anyways the most popular course is the last session and it's where I take a bunch of great research out there and some of my my own personal observations and experience and I try to distill best practices around creating an arc an arc of satisfaction into some algorithms and some equations .
O,And it's called the algebra happiness .
O,It's my most popular session did a video two million views boom next book .
O,And that next book is The Algebra of happiness .
O,Yeah .
O,So two million views .
O,How many of those are people in the United States .
O,How much of that is international .
O,Who is watching a video called algebra of happiness
O,so I get it . And this is where I get 70 percent male and about 80 percent of my audience is under the age of 35 .
O,So I appeal to young males and I write a lot of this through the lens of you know the individual that is just inherently you know kind of wrong when they show up and that as a white heterosexual male .
O,And that's you
O,that's me .
O,So but yeah I find there's an audience out there .
O,I have a cottage industry in coaching and counseling the sons of my friends who are entering the workforce .
O,But yeah that's it's meant to be sort of OK you think you come to business school for economic security what you're really here for is to develop the skills and domain expertise such You can lead a rewarding life .
O,And we go through these observations in the last class and the kids seem to respond to it .
O,So it's not about money it's not about the pursuit of more you know although you talk about that in the book there are some really poignant quotes that that stayed with me
O,every wealthy person I know measures their net worth in frightening detail .
O,This doesn't sound like happiness .
O,How much happiness does money really buy .
O,So there is a correlation between money and happiness .
O,Middle income people are happier than lower income people the affluent are happier than middle income .
O,But that's bad news .
O,There is a core correlation we live in a capitalist society .
O,I believe that everyone has a responsibility to be economically sustainable .
O,So bust a move towards economic security is what I tell our kids .
O,But once you get to economic security housing health care can absorb an economic shock can take nice vacations which according to most data most cities somewhere between 100 hundred fifty thousand dollars a year .
O,I think in New York to try closer to 750 thousand dollars a year .
O,But once you get to that point the correlation between money or incremental revenue or moneys and happiness flatlines .
O,Right .
O,So the key is at that point in your life once you get to economic security for fortune enough to get there the money additional money is an ink in your pen and that is it can write different stories .
O,It can make the current chapters burn brighter but it's not your story .
O,There's also a method billionaires are less happy than millionaires they're not . But they're no happier either .
O,So there's a real skill to saying at what point you stop howling in the money storm and take pause and say well what gives me satisfaction why am I happy because more money won't give you more satisfaction the terrible thing about a number is similar to what you know in that great Star Wars episode where Luke Skywalker is trying to convince Han Solo to rescue Princess Leia he says if you do this you'll get more money than you'd ever imagine in Han Solo rip responds Oh I don't know I can imagine a lot of money .
O,So if I said to you Barry I said All right what do we are goals when you were 22 or 25
O,you say well by now I would probably hope that I had a good relationship with my wife .
O,Some economic security some relevance professionally in good health .
O,And I'm gonna guess who you have most or all of those same
O,pretty much all four boxes
O,but you you also know how much you're worth or you know approximately how much you're worth .
O,And it's pretty easy to imagine to five and 10x that number .
O,Insurance is tough .
O,You can imagine 10x you can imagine double right now .
O,I can imagine 10 you can imagine that you're a smart guy you can imagine .
O,So and that creates you know it's easy to stay on the spinning wheel and or the hamster wheel and I think it's important that we have the discipline to say OK I need to at some point stop howling in the money storm if I'm fortunate enough to have met you know more than my basic needs and figure out what really is meaningful to me .
O,That's interesting .
O,I know that I've made a number of choices career wise where I've turned down more money that I knew was just going to be a miserable slog for what I think is a pretty reasonable lifestyle and a pretty I mean I work a lot .
O,You know my wife calls me gainfully unemployed .
O,I would be doing the same thing whether someone's paying me or not .
O,So there are choices you can make to not take the bigger higher paying but horrific soul sucking job .
O,And just pursue something .
O,I like to think we're making a difference in what we do that we're we're if we're not denting the universe like Steve Jobs at least we're having a positive impact on people .
O,Yeah well so I'll go in reverse order .
O,Steve Jobs denied his blood under oath so he could avoid child support payments .
O,When I was I was scared of a billion dollars
O,so you know we need more engaged fathers not a better damn phone .
O,But anyways .
O,Be that as it may .
O,So you brought up the notion of turning down money to pursue stuff that you would enjoy more I think serves a larger purpose .
O,All of that's important however however I think some of the worst advice that kids get at Stern we invite two types of speakers we have three speakers a week for luncheon speakers and it's either super interesting people are billionaires or we have decided that if you've aggregated a billion dollars you must be able to opine on almost anything including life spirituality you know you're you're the master of all things because you've aggregated a billion dollars
O,and they end with what I think is some of the worst advice or most of the time and that is they tell the kids all one thing and what does that one thing follow your dream follow your passion I go for it which is what you love .
O,Such incredible B.S. because the guy I'd tell people if someone tells you to follow their passion your passion it means you're already rich and the guy on stage telling you that is probably made his money in iron ore smelting .
O,So you have not exactly a passionate .
O,Here you go .
O,So what I think my advice to kids when I say kids young adults is find something your job isn't to find your passion your job find what you're good at .
O,One hundred percent and then invest the requisite grit perseverance frustration endurance around in the injustice that is called the workplace and become great at it and the accoutrements of being great at it economic security the respect to your colleagues the camaraderie you develop with people in the agency of greatness will make you passionate about whatever it is .
O,But the problem with telling young people to follow their passion is what ends up happening is work gets hard it does for everybody and they think well maybe I'm not successful here I don't love it so it must not be my passion I should move on .
O,No that's called work .
O,You can't hate it .
O,I hated investment banking and I was no good at it .
O,So that was a sign to get out .
O,But the idea that Jay-Z followed his passion and as a billionaire assume you are not Jay-Z .
O,I assume that like most 99 percent of people you don't have to find something you're good at .
O,Invest a ton of time and become great at it .
O,I have to reference a disclaimer you have fairly early in the book you write . I have no academic credibility or credentials to indicate I should counsel people on how to live their lives .
O,So why did you write this .
O,So this has been a journey of personal discovery we were talking about this OFF-MIKE .
O,I struggle from what I would loosely call mild depression and issues with anger and my sister summarized the problem perfectly a couple of years ago when I was speaking to her she said Why are you so pissed off all the time .
O,And when I look at my blessings and I look at my mood they don't foot to one another .
O,And I decided that I would do some research around what are the best practices around people who are able to take stock of their blessings and translate that to their mood and their satisfaction with their own life .
O,And there's a tremendous amount of great research out there .
O,There's best practices there's worst practices and I try and summarize them for the kids and turn it into a class .
O,But it's also been a great personal journey for me to try and figure out okay how can I ensure that I take that again my blessings for it to my mood .
O,So on that there's a huge body of research about the positive power of gratitude .
O,Everything you discuss said in the book .
O,How how does one live a more grateful life .
O,Well there's supposedly tricks and one of them is just writing them down .
O,Suppose we write them down this amount them but I think there's other things too .
O,I think with especially with men we have a problem communicating admiration and affection for other people
O,as young men especially when I grew up in the 70s and 80s affection meant one of two things you were trying to have sex with that person or you were a homosexual .
O,And in the 70s or 80s for a heterosexual man both of those things were considered either suspect or a bad thing right .
O,So himself changed .
O,Times have changed and I think affection if you look at mammals if you look at where we're happiest if you look at what we're meant to do we're pack animals and we're meant to touch each other now unfortunately because of just some outrageous and criminal behavior in the workplace . We've conflated masculinity with toxicity and we've said affection in the workplace is a bad thing .
O,And I understand that .
O,But I think men need to take back affection and be affection with their children expressive affection to their friends .
O,And the reality is it just doesn't take a ton of common sense to recognize when affection isn't welcome but affection is a wonderful thing .
O,And also just verbal admiration I bury I think you're an impressive guy .
O,I think you have a really interesting career and I love the fact that you talk about your hobbies
O,you just seem like you seem like a guy that would be a great mentor a great uncle the guy at people want to hang out with
