B-AD,On eBay .
I-AD,"Oh , guys , it's free ."
I-AD,So I don't know why you read that's it .
I-AD,That's it .
I-AD,That's that's the whole thing .
I-AD,Free .
I-AD,There's that's it .
I-AD,"So guys , honey is a free browser extension that you hook up to your computer ."
I-AD,You download it .
I-AD,It's free .
I-AD,"And then every single time you guys go to check out and buy something , could be Pizza Hut , could be Nordstrom ."
I-AD,"Anything under the bucketed , they are going to automatically apply coupons from all over the Internet ."
I-AD,It scans it finds the best deals and applies it .
I-AD,And then you save a lot of money .
I-AD,"Guys , I was buying makeup ."
I-AD,You're buying dildos .
I-AD,You don't have to buy buying DOZ .
I-AD,"I heard her , but it was makeup ."
I-AD,It wasn't a dildo .
I-AD,He tells me I'm getting .
I-AD,I did end up saving .
I-AD,I think it was like 20 something dollars on an order of 100 bucks .
I-AD,Yeah .
I-AD,For free .
I-AD,For free .
I-AD,So you guys go to join honey dot com slash daddy .
I-AD,That's join honey dot com slash daddy .
I-AD,You guys need to try it .
E-AD,It's literally passing up free money if you don't call him daddy .
O,Do I call her daddy ?
O,Call her daddy .
O,We're going to let you guys interpret that however you want .
O,"Moving on , moving on ."
O,"We are in a really deep , dark mental state ."
O,"Unwell , unwell ."
O,It's Alex and Sophia back at it .
O,All right .
O,"For the second time , actually , today , it's call her dad ."
O,Call her daddy .
O,I think it was last week or two weeks ago we uploaded our episode and the sound quality was complete shit .
O,So we had to throw that in the garbage and rerecord it .
O,This week we went to upload our episode .
O,"I felt really , really good about it , only to see that the file said zero bites b y t ."
O,Yes .
O,What does that mean ?
O,I don't fucking know .
O,Guys recording literally for the Zygon time today and it is like I can't explain the pain when I took out the SD card and I put it into my little editor .
O,I went to start editing this audio and I said .
O,"While my audio is there , but Sophia's somehow Sophia's audio lumper , no , I didn't I swear on my microphone ."
O,"Because this puts me through pain , too , that I had to redo this ."
O,So we're literally about to have to rerecord another episode .
O,"And it's like , I don't want to let it out on them ."
O,No .
O,"Like , I can't help but be fresh snow ."
O,This is gonna be a complete different bosox .
O,I can't fuckin sit here and say the same shit for another two hours .
O,No .
O,So we're just gonna have to really go with this one .
O,It hurt .
O,I can't even explain it .
O,No podcast for two hours .
O,"And then you look and it's like , yes , Alex's podcast it alone ."
O,Whereas Sofia .
O,"And the other thing is like when we saw the zero bite file , we said , what is a zero bite file ?"
O,"We spent the next six , seven hours being like , no , no , no , no , no , no ."
O,We can retrieve this .
O,I was on the phone with Geek Squad .
O,We got on fucking up or we were trying to reach out to audio technician .
O,"We were putting up our own money and we were like , we will pay you four hundred dollars out of pocket if you can figure out what the fuck zero bite ."
O,Cause I don't fucking know .
O,"And yeah , nothing was recovered ."
O,So here we are back at it again for another motherfucking episode .
O,"Of course , daddy ."
O,But it's all right .
O,It's OK .
O,I'm losing it a little bit .
O,It's all right .
O,Your eyes are blood .
O,Thank you .
O,Thank you .
O,Alex is doing especially bad .
O,I'm not doing my best .
O,I'm dealing with a little thing I would like to call sleep paralysis .
O,Why is there a light ?
O,"I mean , there are windows ."
O,Okay .
O,I'm probably hallucinating .
O,"I am sleep paralysis when I sleep paralysis , Sofia ."
O,I'm going to take a quick nap .
O,You let them know .
O,So sleep paralysis is .
O,I've had it before .
O,It's a common phenomenon .
O,And what happens is you wake up in the middle of the night and you wake up completely petrified and you can't move your limbs and you can't make a sound .
O,Yeah .
O,And you're alive .
O,You lay there paralyzed and everyone experiences it a little bit differently .
O,"Like for some people , it's like there's an evil spirit like up above them levitating ."
O,Yeah .
O,"I mean , how is it for you ?"
O,"I literally last night or two nights ago , I woke up and there I believed was a man sitting on the edge of my bed , just staring at me , sleeping ."
O,And I was so fucking terrified .
O,"You guys paralyzed , couldn't move the whole thing ."
O,"And then for the next like now , few nights I haven't been able to sleep because of this terrifying feeling of , oh , my God , if I go back to sleep , is this gonna happen again ?"
O,Yeah .
O,"Sometimes what happens is if you regretting this , if you partake in partying like there are like drugs at the party and you decide to partake ."
O,Sometimes you will have sleep paralysis like a few days later .
