B-AD,"Hi , it's Phoebe ."
I-AD,Just a quick note to let you know that we started another podcast .
I-AD,It's a very simple thing .
I-AD,"It's just me reading a classic mystery novel , a chapter a Day ."
I-AD,It's called Phoebe Reads a Mystery and you can get it wherever you're listening to this right now .
E-AD,"OK , here's the show ."
O,"We had a spate of freezing deaths in the month of January 2000 or the space of a couple of weeks , we would get these sort of sadly typical news releases from the city police that went along the lines of a 28 year old person found frozen ."
O,These were the general circumstances .
O,We aren't naming them because it's not a violent death and that's just how they handled it .
O,Danza Kreisky is a reporter for the CBC .
O,"In 2000 , he worked for the Star Phoenix newspaper in Saskatoon , Canada ."
O,So that particular month it was the post Christmas newsroom doldrums .
O,So I was assigned to take a look at one of these freezing deaths .
O,"There was a body found out by the city landfill , which is in sort of the southwest section of the city ."
O,It's a real relatively isolated for the city .
O,"And I was assigned to put together a sort of a best practices story on , you know , don't get drunk and try to walk home and develop a little bit of a feature on the individual who was frozen to try to put a human face on it ."
O,So I had begun to do my research .
O,"It it started off by , first of all , trying to find out the individual's name ."
O,"And it turned out to be a fellow named Lawrence Wagner , who was a social work student here in town and was reaching out to his family and trying to find his background while I was in the process of researching that my city editor hadn't gotten at the time what seemed like this absolutely improbable tip that city police had been dropping people off on the outside of town , First Nations people ."
O,Lawrence Wagner was the 30 year old First Nations member .
O,His body was found frozen to death on February 3rd .
O,"But as Danza Kreisky learned , he'd gone missing three days earlier ."
O,Dan wanted to know would last Lawrence Wagner .
O,"He started knocking on doors and one of the doors that I knocked upon was a woman named Alize , a white cap ."
O,"And I knocked on her doorway and I said , you know , had you heard anything about this ?"
O,The woman said that she did know Lawrence Wagner .
O,He was her nephew .
O,"And she goes , well , as a matter of fact , the night that he had gone missing , that evening , that freezing cold evening , he had knocked on my doorway and my daughter had answered it ."
O,"And he was clearly under the influence of some sort of intoxicant because he was basically in his shirt sleeves and jeans and he was yelling , pizza , pizza ."
O,So I had called the police .
O,I being Eliza .
O,"And when she called the police , they said the 9-1-1 operator told her that somebody else had already called about him and police had been dispatched ."
O,"So that was really the Sarah of terrible aha moment , because I had a clear connection involving the police and Mr. Wagner ."
O,He had come into contact with the police the night that he had died .
O,"Lawrence Wagner was found in a remote industrial area by a power plant , a place nobody walked , especially in the winter when Dan started looking into things ."
O,He noticed that another freezing death had been reported in the same area .
O,A First Nations man named Rodney Natus had been found there on January 29 .
O,"Two men's bodies , both frozen to death , found in the same place in the same week and then on February 4th ."
O,"A man came forward and said he'd been dropped off on the outskirts of town , but he had made it back alive ."
O,"I'm Phoebe , Judge ."
O,This is criminal .
O,Dear Knight was a First Nations man .
O,"He was 33 at the time , Danza Kreisky says the Saskatoon police knew Dara well ."
O,He was getting picked up frequently by them .
O,"Intoxicated , aggressive abuse of would be put in a cruiser , would be taken downtown , spend the night in the drunk tank , released the next day , and then it was sort of shampoo , rinse , repeat ."
O,"In the early hours of January 28 , Darrell Knight had been at his uncle's apartment ."
O,They'd fought in around dawn .
O,"Two police officers found Darrell Knight outside the apartment , intoxicated and yelling ."
O,Darrell Knight later said the officers handcuffed him and put him in the back seat .
O,"His account was put into the back of this cruiser , and he knows almost immediately that he's not being driven to the police station because it's the opposite direction ."
O,And I recall speaking to him and he said the car got real quiet .
O,"You know , he he realized something was up ."
O,I think he was concerned that I was just gonna lead to a beating .
O,Was he going to be shot ?
O,He didn't know what was going on .
O,"You know , you're in this cruiser and you think the cruiser should be going north and it's going south ."
O,And instead of heading towards the bright lights .
O,So you're heading out into the darkness and you've got these two police officers in the front seat who aren't talking to you .
O,They're just drive .
O,And you it was a terrifying experience for him .
O,"Daryl Knight , leader said that the police drove him to a remote area and told him to get out of the car ."
O,He told the police he thought he would freeze to death .
O,"And according to Darrell Knight , one of the officers said that's your problem ."
O,And the police car drove away .
O,"He later said , I thought I was dead ."
O,"All those rumors I heard in the past , they were all coming true ."
O,"When we first started reporting on this phenomena of what was happening , I can remember a First Nations guy telling me , oh , it's just a Starlight Tours ."
O,"And we'd heard , you know , versions of this in the past ."
O,"You know , the idea being that police would pick a person up who was intoxicated ."
O,They don't want to take him into the station because it involves a lot of paperwork .
O,This fellow's thrown in jail .
O,"So they'll think , oh , look , instead of taking you into the police station and charging you , we'll just take you somewhere and you can walk it off ."
O,So was kind of an open secret .
O,"What's problematic is if you're dealing with somebody who's really intoxicated and it's 30 below and you take them somewhere , they might not make it back ."
O,"So the scenario that was presented to us , the tip was that police had , in fact , done this , taken a person to the edge of town in really cold weather and dropped them off and they never made it back in ."
O,"When we're talking really cold weather in Saskatoon in January , what temperature are we talking ?"
O,It would be .
O,"I guess , you know , simply for comparison purposes , 40 below , which is , you know , 40 below Celsius and 40 below Fahrenheit are the same ."
O,"So 40 below freezing cold , you can die ."
O,"You know , if it's windy out , you'll get frostbite on your face in a matter of minutes ."
O,So this is full on Paka Park of weather .
O,"Yeah , it's the type of weather where if you're not careful , you can die whether you're intoxicated or not ."
O,"So at this point , the police ."
O,"Was it the idea that the police , most of the police departments just finding out that ."
O,Wait a second .
O,There are some officers who've been doing this .
O,Or was it .
O,"Oh , now we've always known this and now everyone else knows it , too ."
O,"I think within the service back in around 2000 , it was I think I would characterize it as a mature police service ."
O,"You know , in the sense that the the average age of the officers and the years of experience was a little bit older ."
O,"You know , they rather they did their business the way they did their business ."
O,They weren't under a lot of scrutiny .
O,"So just within the police service , they were trying to figure out , well , who was working that night , who was in that particular sector of the city , is it conceivable that they would have dropped them off ?"
O,How widespread is this ?
O,"On February 7th , two constables for the Saskatoon police force , Dan Hanson and Ken Munson , admitted that they'd picked up Darryl Knight , driven him to a remote area and left him there ."
O,"Three days later , they were suspended with pay ."
O,And then the Saskatoon police chief announced he was ordering a homicide investigation into the deaths of Rodney nieces and Lawrence Wegner .
O,And another investigation into the claims made by Daryl Knight .
O,The Saskatchewan Justice Department called in the Royal Canadian Mounted Police to take over the investigations .
O,A Kreisky remembers feeling like the whole thing was starting to explode .
O,"I can remember driving home in my car and seeing police cars and being nervous thinking , are they following me because I'm doing this story ?"
O,"However , we uncovered this this horrible practice that's been going on ."
O,It was an awful experience .
O,And and trying to think how far back did it go ?
O,"I mean , even something as simple as a simples , maybe the wrong word ."
O,"But when I was doing the research on Lawrence Wagner , you know , trying to do the death by misadventure story , going back in our files and finding out about Rodney Nestor's , which had happened right at the same time , and I had just never connected the dots because it just seemed like another freezing death ."
O,"And then all of a sudden you have to First Nations guys found frozen right in the same area of town , right on the same weekend with Daryl Knight ."
O,It was terrifying .
O,It just seemed like we went from nothing to anything was possible .
O,Is there any thought about how many people were taken on these Starlight tours ?
O,"My gosh , once we broke the story , the phone lines just lit up from people in the First Nations community calling not just within Saskatoon from around the province , saying , oh , yeah ."
O,This happens all the time .
O,"But nobody ever believed us when we told people , you know , were socially and economically disadvantaged First Nations people being taken out by the state , by the representatives of the state , you know , who's going to believe us ?"
O,White reporters aren't going to believe us .
O,That was just sort of their world .
O,Dan's across key remembers that one day his colleague Less Perot was going back through the newspaper's archives looking for mentions of freezing deaths or First Nations men found in remote areas .
O,I remember vividly sitting at my desk in the Star Phoenix newsroom .
O,"And lo and behold , he got back to 1991 and I'm sitting there and he just sort of makes this noise of great surprise ."
O,"And I turn and look at him and he goes , meet Neil Storen , child , and he turns around and holds up our scrapbook ."
O,"And there was the page one story on , you know , family concerned with teens , suspicious death ."
O,"And it was all there , all the elements of the concerned families ."
O,The disturbing set of facts were all there .
O,Basically a decade earlier .
O,"While the Saskatoon Police Service was under scrutiny , there was one man inside the police service who is doing a sort of investigation of his own and beat in northern Ontario , kid very respectful of the cold and its power , its very powerful things in it ."
O,Then it just bugged me like how did this kid end up there ?
O,"And I thought , well , when I get back to work , I'll find out what's going on ."
O,This is our only looted at the time .
O,He was a constable for the Saskatoon Police Service .
O,"When you started with the Saskatoon Police Force , how many First Nations officers were there ?"
O,There was 2 ahead of me .
O,I was the third one .
O,So in and out .
O,What percent would you say that was of the full force of 1 percent ?
O,"Here's what , 350 officers ."
O,I think when I started at and it was the same pretty much across the board .
