B-AD,"This episode is brought to you by business schooled , a podcast by Synchrony Back for its second season ."
I-AD,"Business Schooled is hitting the road with its new host , zoriah Dabi ."
I-AD,"She's meeting with eight businesses from all over the U.S. to find out how they're not just surviving , but thriving ."
E-AD,Download and subscribe to business schools wherever you get your podcasts .
O,Happy New Year .
O,Thank you .
O,Happy New Year to you .
O,We're back .
O,"We are D-WV New Year's resolutions , you know ."
O,Last year I said I wanted to get knocked down at an end of getting .
O,Huh ?
O,"Your exercise flat , which was the tick of box ."
O,It's somebody with Dec 0 .
O,"I mean , I did do a boxing for a while and I kind of fell off and I have every knock you out ."
O,"Nobody knocked me out mostly , you know , like you in the kisser ."
O,It wasn't really sparring .
O,It was more just like getting the technique .
O,That's the thing .
O,"All the things that seem like they'd be cool , like when I was a kid , I relate Star Wars thing took like three fencing classes in Philadelphia ."
O,"And they're like , OK , so we're going to do six months of footwork and then we'll give you a glove ."
O,Why couldn't I have just walked into the gym and then just someone immediately punches me ?
O,That's a veteran gym .
O,You really you have no New Year's resolutions ?
O,"No , I don't want to do a resolution this year because I feel like I failed so badly getting knocked out ."
O,What about you ?
O,Do you have a New Year's resolution ?
O,"Last year , I think my resolution was to be more confrontational ."
O,All right .
O,How'd it go ?
O,"Well , I think for a second I confronted more people in the last year ."
O,"What I remember is like a couple weeks ago , I was driving and this guy took my parking spot like I was backing into it ."
O,And he swooped in and took it as a dude .
O,"And he was like , oh , I was looking out my window and I saw this parking spot ."
O,I really wanted it .
O,"And I was like , OK , make sense as driveway ."
O,"I was like , that made no sense ."
O,That's great .
O,Great .
O,You've gotten way more conversational .
O,Okay .
O,So I guess this year by my New Year's resolution is to stand up for myself again .
O,Wait .
O,"Actually , I just realized that ."
O,"My Glaziers year's resolution , that was actually that it was actually an old resolution ."
O,My last year's one was to engage in less feuds .
O,"Oh , right ."
O,Yeah .
O,And it didn't work out .
O,Who are you feuding with ?
O,"You know , I think you should now ."
O,Okay .
O,No resolutions .
O,Nothing .
O,There's not one thing you want to have in this year .
O,This name is Sullivan Berman thing .
O,Zip .
O,Zero .
O,"All right , after ."
