B-AD,Freakonomics Radio is sponsored by Rocket Mortgage by Quicken Loans Quicken Loans takes the unpredictability out of home buying by verifying your income assets and credit .
I-AD,In less than 24 hours unlocking your rate for up to 90 days while you shop if rates go up your rate stays the same .
I-AD,But if rates go down your rate also drops .
I-AD,Either way you win .
I-AD,To get started .
I-AD,Go to Rocket Mortgage dot com slash freak rate shield approval only valid uncertain 30 year purchase transactions additional conditions or exclusions may apply based on Quicken Loans data in comparison to public data records .
E-AD,Equal housing lender licensed in all 50 states and MLS consumer access dorg number 30 30 .
O,You cannot be afraid to fail .
O,I would never be in an environment that was so emotionally charged .
O,Q The reason you're telling your second grade daughter that she's moving next week .
O,The fight started and I hit her as hard as I could and she actually fell down .
O,I have an 8 year old son there's no way I let him play football .
O,I wanna leave this sport be known as embattlement .
O,Maybe you are an obsessive sports fan or maybe a more casual fan than you follow just a couple of sports teams .
O,Or maybe you pay no attention to sports and you only see it when the Olympics are on somebody else's TV .
O,Whichever the case when you do see those athletes .
O,It's easy to think of them as existing solely in that context .
O,As a full grown adult wearing a uniform .
O,Performing under extraordinary pressure focused on a highly specialized task that has ZERO to do with daily life or at least your daily life .
O,But is that who those people really are .
O,And how they get so good at this thing they do .
O,When you see them on TV all you're seeing is the outcome .
O,But what were the inputs .
O,We understand that elite athletes represent some magical combination of talent and determination .
O,But what about say .
O,Luck .
O,Oh my gosh .
O,I yes absolutely .
O,I think a a ton of luck is involved .
O,That's Shawn Johnson an American gymnast who's won an Olympic gold medal and many other top honors .
O,It's kind of like this miracle math kind of equation that has stayed equal the perfect answer .
O,I mean you can't get hurt .
O,You have to be healthy .
O,You can't have the flu on the wrong day .
O,You have to find the right coach and the right city below it all these random things and when you like .
O,Get all the people who fit that equation you're not left with many people .
O,So I guess I was just the best of the very few who fit that equation .
O,Today on Freakonomics Radio the third installment in a series we're calling the hidden side of sports in the first episode .
O,We looked at how sports have always mirrored society from our historical penchant for war and colonizing to our more recent obsession with pushing the limits of human achievement .
O,Freeman .
O,Fifty nine point four seconds .
O,The four minute mile .
O,A trip .
O,In episode 2 .
O,We looked at the economics of a single NFL franchise the San Francisco 49ers and how they had begun to recover from a debilitating losing streak .
O,I mean when you lose a game a lot of noise happens when you lose to a ton happens usually threes like Armageddon .
O,Try nine .
O,In today's episode .
O,Becoming an athlete .
O,Time to step back and try to understand how these people rose to such heights How scientific is the process .
O,How predictable .
O,We'll look at a number of factors including of course raw talent .
O,My parents are both super studly athletes .
O,I think the gift is number one to look at will and determination .
O,I did a bunch of pushups and sit ups that night and toe was throwing up and the mental aspect of this most physical pursuit .
O,Well I think the mind is is as big of a separator for professional athletes as any physical tools .
O,We'll hear stories of opportunities gained and lost in 1981 .
O,It was eighteen point seven percent black African-American players in the major leagues .
O,As of 2018 seven point eight percent .
O,And we'll hear one story that's almost too good to be true .
O,They said hey you are blowing up on Twitter or you're blowing up my Instagram you know you're everywhere and you just have no idea .
O,From stitchers and Dubnyk productions this is Freakonomics Radio the podcast that explores the hidden side of everything .
O,Here's your host Stephen Dubner .
O,When you see an elite performer in any field of sports or music or surgery whatever it's natural to ask yourself a question how would they get it .
O,How much of that ability were they born with .
O,How much is attributable to hard work and practice .
O,This is a debate that's been going on probably forever .
O,Nature versus Nurture RAW Talent versus what's called deliberate practice .
O,We've had that debate on this program most recently in an episode called How to become great at just about anything .
O,Too often this debate ends up obscuring what strikes me as a pretty obvious fact to become great at anything .
O,I need both talent and practice .
