B-AD,Support for this podcast and the following message come from MOCs dra- providing businesses with their own client interaction app for today's digital age .
I-AD,"Your app will be a one stop hub , keeping your clients in continuous connection with your business from anywhere ."
E-AD,Get your One-Stop App at Moch STRATCOM .
O,This is the TED Radio Hour .
O,"Each week , groundbreaking TED talk ."
O,"TED talks , TED technology , entertainment , design , design ."
O,Is that really what's .
O,I've never known delivered at TED conferences around the world gift of the human imagination .
O,We've had to believe an impossible thing .
O,The true nature of reality beckons from just beyond those talks .
O,Those ideas adapted for radio .
O,From NPR .
O,I'm Guy RAZ .
O,And I'm Today Show in and out of love .
O,Yeah .
O,So I was out on a date .
O,And let's start with a story about falling in love .
O,It was one of those dates where initially I didn't know it was a date .
O,"This is Mandy Lynn Catron , who's written a lot about love ."
O,"He had presented the idea of going to the art gallery so casually like he mentioned it via Instagram , which I think suggests something about how how casual it was ."
O,"I really thought , oh , we're just two people going to look at some art together ."
O,But pretty soon Mandy realized it was a date .
O,"Yeah , it was a date ."
O,"So Mandy and Mark , that's her date ."
O,"Mark said to me , do you want to go grab a beer ?"
O,And I know .
O,Okay .
O,Sure .
O,And then we started talking about love and relationships .
O,"And he said , you know , I have this theory that you could fall in love with anyone ."
O,And if that's true .
O,"Like , how do you choose someone ?"
O,"And I said , oh , yeah , that's that's an interesting theory ."
O,There's actually this study that I read about one time where these scientists tried to create romantic love in the lab .
O,And I was pretty skeptical .
O,But it sounds interesting .
O,"And then just on this like impulse , I feel like I'm pretty shy on dates , but was feeling brave ."
O,"And I said , oh , you know , I've always wanted to try it ."
O,"And immediately he was like , great , let's do it ."
O,And so he did right there .
O,"And then right there in the bar , you decided to turn your date into a science experiment ."
O,Mm hmm .
O,"You know , we spent several next several hours just sliding my phone back and forth across the table , taking turns , asking the questions ."
O,The questions ?
O,"36 questions , to be exact ."
O,And let me pause to say that some of you may have heard about these Mandar .
O,You wrote about the questions for The New York Times a couple of years ago .
O,"Number one , given the choice of anyone in the world , whom would you want as a dinner guest ?"
O,This is Arthur Aaron .
O,I am a research professor at Stony Brook University and I do research on relationships and Arthur .
O,He wrote the 36 questions as part of that research .
O,"Number four , what would constitute a perfect day for you ?"
O,"These questions were designed as a laboratory procedure to create closeness , usually not romantic closeness , just a sense of connection with another person quickly ."
O,And the questions do this by getting increasingly more and more personal .
O,Name three things you and your partner appear to have in common .
O,"If a crystal ball could tell you the truth , what is your most treasured member ?"
O,What is your most terrible memory ?
O,What roles do love and affection play in your life ?
O,You feel your childhood was happier than most other people .
O,Tell your partner what you like about them saying things that you might not say to someone you've just met .
