O,"At this altitude , I can run flat out for a half mile before my hands start shaking ."
O,Denial's your first question now is a synonym for .
O,I'm a cybernetic organisms living this show will never interest me .
O,So .
B-AD,This episode is brought to you by five Bullett Friday .
I-AD,My very own email newsletter .
I-AD,It's become one of the most popular email newsletters in the world with millions of subscribers .
I-AD,"And it's super , super simple ."
I-AD,It does not clog up your inbox every Friday .
I-AD,"I send out five bullet points super short of the coolest things I've found that week , which sometimes includes apps , books , documentaries , supplements , gadgets , new self experiments , hacks , tricks and all sorts of weird stuff that I dig up from around the world ."
I-AD,"You guys podcast listeners and book readers have asked me for something short , an action packed for a very long time ."
I-AD,"It's after all the podcast , the books ."
I-AD,They can be quite long and that's why I created Fable Friday .
I-AD,It's become one of my favorite things I do every week .
I-AD,It's free .
I-AD,It's always going to be free .
I-AD,And you can learn more at teamed up log forward slash Friday .
I-AD,That's teamed up blog Forward Slash Friday .
I-AD,I get asked a lot how I meet guests for the podcast .
I-AD,Some of the most amazing people I've ever interacted with and little known fact .
I-AD,I've met probably 25 percent of them because they first subscribed to Fable of Friday .
I-AD,So you'll be in good company .
I-AD,It's a lot of fun .
I-AD,Phablet Friday is only available if you subscribe via email .
I-AD,I do not publish the content on the blog or anywhere else .
I-AD,"Also , if I'm doing small in-person meetups , offering early access to startups , beta testing , special deals or anything else , that's very limited ."
I-AD,I share it first with FEIBEL at Friday subscribers .
I-AD,So check it out .
I-AD,Teamed up log forward slash Friday if you listen as podcasts .
I-AD,Very likely that you'd dig it a lot and you can of course easily subscribe any time .
I-AD,So easy peasy .
I-AD,"Again , that's Tim DDOT blog Forward Slash Friday ."
I-AD,And thanks for checking it out .
E-AD,If the spirit moves you .
O,"Hello , boys and girls , ladies and germs , this is Tim Ferriss and welcome to another episode of the Tim Fair show where it is My Job Every episode to deconstruct world class performers , people who are excellent , if not the best at what they do in many , many , many different fields ."
O,And that scratchiness is Tim Ferriss coming off of antibiotics because I had some little gremlins inside me that I brought back from the Amazon .
O,That's a separate story .
O,"In any case , my job doesn't matter that it ended up deconstruct that event ."
O,"Many fields and this particular episode we have a wonderful guest , Jack Cornfield ."
O,"Alice Walker calls Jack , quote , one of the greatest spiritual teachers of our time ."
O,"And quote , Jack trained as a Buddhist monk in the monsters of Thailand , India and Burma , shortly thereafter becoming one of the key teachers to introduce Buddhist mindfulness practice to the West ."
O,He is taught meditation internationally since 1974 .
O,That's before I was even a glimmer in my papa's eyes .
O,"So it's been teaching for a very , very long time ."
O,And he has had a profound and direct impact directly on my life .
O,"So I'm thrilled to finally have him on the podcast to share our shared history , his incredible stories and the practical tactics and very detailed techniques that you can use ."
O,And we dig into all of that and you can also say hi to him on the Internet at Jack Cornfield on Twitter .
O,Check it out .
O,Jack's history just a little bit won't spend too much time on it .
O,"Jack co-founded the Insight Meditation Society in Bar , Massachusetts , with fellow meditation teachers ."
O,"Sharon Salzberg , who's also been on this podcast , and Joseph Goldstein ."
O,"And later , the Spirit Rock Center in Wood Acre , California , which is where I did my first silent retreat ."
O,And we talk about that .
O,"He holds a p_h_d_ in clinical psychology , which is important to me and comes into this conversation because he's a very , very diverse toolkit for dealing with many different types of personal challenges , issues , questions and so on ."
O,"And as a father , husband and activist , his books have been translated into 20 languages and sold more than a million copies ."
O,He is prolific .
O,"His books include and I pulled some of you for your favorites , A Wise Heart ."
O,"That's number one , a lamp in the darkness ."
O,"A Path with heart after the Ecstasy , the laundry ."
O,"One of my favorite book titles of all time and his most recent book , No Time , like the present subtitle , Finding Freedom , Love and Joy Right Where You Are ."
O,He is quite possibly the most purely compassionate human being I've ever interacted with .
O,And compassion isn't a word that I use very much .
O,But Jack is unique and I'm thrilled to give you a window into his story and his teachings .
O,"Without further ado , please enjoy this wide-ranging conversation with Jack Corfield ."
O,"Jack , welcome to the show ."
O,"Oh , thank you , Tim ."
O,Pleasure to reconnect .
O,"I have wanted to have you on the show for some time now , and you've had certainly a tremendous impact on my life , both through writing and through firsthand in-person interaction , which I think we'll touch upon ."
O,"But first , I wanted to ask you a complete non-sequitur from that , which is something that our mutual friend Adam Ghazali suggested I ask you about ."
O,"And Adam , for people who don't know him , is an incredible peach DMD neuroscientist based at UCSF ."
O,And he suggested that I ask you about hang gliding .
O,And I have no idea why he suggested that .
O,But I'm going to start there .
O,"And if it doesn't go anywhere , we can , we can change direction ."
O,But I figured we would just start with that and then we're going to rewind the clock .
O,But why did he suggest I ask you about hang gliding ?
O,"Well , it started many years ago when I cross-country with a friend who had a hang glider and we would stop periodically and go off different hills ."
O,And it was fantastic .
O,And then I wanted to do paragliding and started to learn it .
O,"Now , because everything is developed and paragliding is like , you know , is a lot more official ."
O,"You need a license , which I don't have ."
O,"But one of my favorite things is to tandem paragliding , go off the top of places like Grindle walled in in Switzerland , where you can take the ski lift up to 9000 feet and then jump off and float silently like you're a bird among the clouds ."
O,"The birds actually do come by sometimes and like , check out what's this big bird flying up here ?"
O,You can catch thermals and go way up above the glaciers .
O,And it's one of the most thrilling and delicious experiences that I know .
O,That's incredible .
O,See you .
O,You first experience that at what age ?
O,"And probably in my , you know , late 20s and did some and then sort of put it aside ."
O,"And then I was travelling and teaching in Europe and I saw a sign for paragliding and I said , oh , gosh , I really want to do it ."
O,And started .
O,"And now each time I go where there's high mountains and paragliding , that's one of my things that I love doing ."
O,"You know , there's something about it ."
O,"I've had most we'll have these dreams once in a while , if you're lucky ."
O,"A dream of flying or maybe in your meditation , you have this sense of not being limited to your body ."
O,And and this is the closest thing that I know because it's absolutely silent and you're floating there .
O,It's quite fantastic .
O,And this is something you still do and and hope to do it and hope to do it next summer when I'm back in the Alps .
O,And how old are you now ?
O,"72 , 72 ."
O,"GOODMAN Well , we're going to then go back a bit in chronology and ask about childhood ."
O,I would love to hear you describe your childhood .
O,What were you like as a child ?
O,What was your upbringing like ?
O,"Well , first thing to say is I remember when I got to Dartmouth College in 1963 and I called my mom from the payphone in the dorm sometime in that fall ."
O,"I didn't call very often , but you know how it is ."
O,"And I said , Mom , I said , guess what ?"
O,There are a lot of other really fucked up aside .
O,So that's kind of where we where we where we start .
O,"So there yeah , I had three , three brothers and my father was a mixture of a tyrant and an really abusive person and a brilliant guy ."
O,I was born on and on a Marine base in .
O,Toward the end of World War Two .
O,"And they didn't send him overseas to do they put him in the medical part of the Marines because he tested so high on their tests that they know , okay , we're gonna use him for something ."
O,So he was brilliant in certain ways .
O,"He was a biophysicist who helped design some of the first artificial heart and lungs , worked on the space program , but also did other kinds of weird stuff like work for the army , biological weapons , people not making biological weapons ."
O,"We're trying to design things that were kind of computer biological interfaces , all kinds of creative stuff ."
O,But he was .
O,He was .
O,"He had mental problems , and so we didn't know when the car pulled in whether we were going to get Dr. Jekyll or Mr. Hyde , he would come in and , you know , either he could shout , be abusive , throw my mother down the stairs , rant , chase after us , tried to hit us , whatever , or we'd get this interesting creative person ."
O,But we hardly ever had people come over when he was around during the daytime where we would because you never knew what you would get .
O,And so our family life and my family life in some way was also there were great parts of it because I had my brothers and we were like our own gang .
O,"We moved all the time , but we had each other ."
O,"And because he was wacky as well as smart , my father either quit or got fired every year or two and then we would go from one place to another ."
O,I went to .
O,"I don't know , eight schools by the time I finished high school ."
O,"So my childhood , partly it was there were the happy things of roughhousing and being a boy with with three other boys and adventures and then in the basement ."
O,My father had all kinds of scientific equipment .
O,"He had all this stuff from World War to this huge radio from a battleship that you could tune into a thousand different , you know , shortwave stations around the world and projects ."
O,He was trying to design stuff .
O,And so we learned from them .
O,You could pretty much take our design or do anything in the physical world .
O,"And at the same time , I felt like my whole childhood was also sure how to say it colored with the fear of his violence and his unpredictability ."
O,So I became kind of a peacemaker in the family .
O,We all sort of had our roles .
O,And now I do it as a profession .
O,Right .
O,Trying to kind of make it a little smoother between my parents so that they would kill each other .
O,And each of my brothers had their own strategy .
O,"My twin brother , who is a lot bigger and much more outgoing ."
O,"We played football , which I certainly didn't ."
O,I was skinnier .
O,"And , you know , I was in the orchestra and he was that football player ."
O,"But anyway , I remember when he first got in a fist fight , we'd like to add because my father was abusing her mom and my twin brother had been , as young men sometimes do , probably 13 , 14 , any pretty big ."
O,"And it was looking in the mirror , you know , making muscles in the mirror to see how strong he'd become ."
O,"Anyway , he just , you know , got into a fist fight with my father ."
O,And I was both thrilled and terrified .
O,And but it worked in some way because of the abuse .
O,Settle down quite a lot after that .
O,So that was his .
O,His strategy was just to get angry .
O,"And then later , kind of to go his own way somewhat more , although we're also all been very close as brothers ."
O,"So there was that at the same time , there was a lot of interest ."
O,Intellectual interests .
O,So we read and learned about all kinds of things .
O,Both my parents were really interested in the world around us .
O,"And so was sort of this mixed thing of the , you know , the gift of being together with my brothers and a mom who is basically pretty nurturing , although she kept trying to leave him and never got it together ."
O,I think it was too scary in the 50s to have four boys .
O,"You know , no job until we were in the middle of this ."
O,"And the kind of healing that it took , it took a long time to do that in inner healing work from the pain of my family ."
O,"And I remember when I became a Buddhist monk and I was sitting these first years with my teacher , Agent Cha , in the forest monasteries of Thailand on the border of Thailand and Laos ."
O,And I've been sitting quietly .
O,"And then some of these memories or energy would come , or I remember one monk who had a pot near mine in the forest did something that annoyed me ."
O,And I just got enraged inside .
O,"And and I sat and then I went to the teacher and I said , you know , I'm really getting hungry here ."
O,And he smiled .
O,"He said , Yeah , where you think that comes from or something like that ."
O,"And I said , Well , I don't know ."
O,"I said , I thought it was a peaceful guy ."
O,It was never going to be like my father .
O,I won't be .
O,"Peaceful , but it turned out it just stuffed all that stuff ."
O,"And so when I told my teacher about it , he said , good should go back in your heart ."
O,It's the hot season .
O,You got a little tin roof and close the doors and windows and put all your robes on .
O,"And if you're going to be angry , do it right in the middle of that ."
O,"You know , and sit in the middle of the fire and don't be so afraid of it because you're afraid of it ."
O,You're just going to keep stuffing it .
O,"And on the other hand , or if you're afraid of it , it will just explode ."
O,There's another way to be with it .
O,"And so that was the beginning of some healing , just to realize that I could actually tolerate the suffering and the energy that was in my still carried from trauma in my body and heart ."
O,"So we're going to absolutely come back to Örjan Chava , because I have many questions on that chapter in your life ."
O,But just just so that I can create the proper visual in my own head .
O,"So you sat there in your hut in the sweltering heat with all of your robes on reading , or were you angry in silence ?"
O,Were you yelling ?
O,"Well , what I was I was pretty much angry in silence ."
O,And that's an interesting question .
O,Yeah .
O,"You know , in the monastery , the culture was not was not much that you would yell ."
O,You go somewhere out in the forest and yell .
O,But it was it wasn't decorous or something .
O,People .
O,"What the hell's wrong with that , monk ?"
O,"So mostly I was sitting in silence and then scenes would come and I would realize , wow , you know , I thought I was peaceful ."
O,I carry every in every cell of my body .
O,"I also carry both the pain and anger , my childhood and my father and just the the anger that comes with being a human being and human incarnation ."
O,And I was never going to have that .
O,"But of course , there it was ."
O,"And it lasted you know , this was I had days of and actually much longer weeks or months of waves of this coming and learning how to , you know , be present for it and not get overwhelmed by it ."
O,So I want to backtrack and then connect those dots between childhood and ending up in Thailand .
O,You mentioned Dartmouth earlier .
O,"And from what I've read , at least you were initially pre-med and then ended up Asian studies ."
O,Could you describe .
O,That experience in Dartmouth or how you went from pre-med to Asian studies ?
O,"Well , you know , we all get turned in these mysterious ways in our life ."
O,We think we're going one direction and then something happens unexpectedly and a gateway opens .
O,So I was coming from an organic chemistry class to the class that I'd signed up for .
O,"Out of interest on Asian studies , raisin philosophy or something ."
O,And it was an old professor and Dr. winx it chan who'd come up from Harvard .
O,He was kind of emeritus there .
O,"And he even sat cross legged sometimes , you know , on the front of the room and would talk about loud too ."
O,And that was him .
O,And they talk about Buddhist teachings and how the Buddha taught suffering and its causes and its end .
O,And that really all of a sudden I sat up and there's an end to suffering .
O,There's a way to do it .
O,"And he said , oh , there's all these teachings and practices where you can transform your heart and mind ."
O,"And I became thrilled about it and realized that whatever impulse I had to go to medical school , I'm probably part of it came from wanting to heal myself ."
O,And so I started to take more and more courses .
O,"And then it was it was the 60s and I became a card-carrying hippie card carrying LSD , taking hippie ."
O,As a matter of fact .
O,And at the end of it in .
O,Yeah .
O,"When I was kid getting ready to graduate , there was still the draft ."
O,"And I thought , well , I definitely know want to go over and kill people in a war that I that I've been protesting a protesting against ."
O,So I decided to go into the Peace Corps instead and ask them to send me to a Buddhist country where maybe I could find it .
