B-AD,If you're listening to this podcast it means you're ready .
I-AD,No more than ready to have a major breakthrough in your business .
I-AD,You're hungry for change and you're hungry for growth .
I-AD,But do you know where to start .
I-AD,Or if you've already started but are feeling stuck .
I-AD,You need some help someone to talk to about your business plan and how you can accelerate growth .
I-AD,That's why Tony Robbins is offering a free one to one business strategy session from one of his top business coaches
I-AD,a six hundred dollar value completely free no strings attached .
I-AD,That's right .
E-AD,If you're listening right now you can go to Tony Robbins dot com slash CEO to sign up for your free session and get started on your own path to massive success .
O,Today over 35 million people subscribe to Sirius XM Radio .
O,But it was only 30 years ago that the very concept of delivering high quality radio service to listeners via satellites was almost inconceivable .
O,And yet it did happen .
O,In the early 90s the FCC established frequencies and licensing rules for the first ever satellite digital audio radio service .
O,And it was all due to the persistence of one woman Martine Rothbart .
O,The company that she started from nothing is now a six billion dollar business and with its recent acquisition of Pandora is set to capture even more market share in the fast growing digital audio space .
O,Even if this the founding of serious was all she had done it would still be quite an accomplishment .
O,A level of success that most people only dream of achieving .
O,But Martine didn't stop there .
O,She pivoted her entire career as an engineer and shifted her attention to biotechnology creating United Therapeutics in 1996 after finding out her daughter had pulmonary hypertension a rare life threatening disease .
O,Today United Therapeutics sells five FDA approved pills for pulmonary hypertension and has experimented with pig cloning and genetic modification to create organ transplants . The body doesn't reject .
O,When Martine found out that 80 percent of donated lungs end up unusable . She figured out a technique to manufacture them in unlimited quantities and overcome the severe shortage of donor organs .
O,She even went on to invent the first electric helicopter to deliver them in a way that's environmentally friendly .
O,Martine was the top earning CEO in the biopharmaceutical industry in 2018 earning a compensation package of more than 37 million dollars .
O,But she's not just a pioneer in business .
O,She underwent gender reassignment surgery decades ago and has been a powerful advocate for transgender rights ever since .
O,Earlier this year a Business Mastery Toni had the privilege of speaking with Martine and he was completely blown away by their conversation .
O,Listen closely because in this episode Martine shares how she has built her entire career on achieving the seemingly impossible .
O,And she also reveals her own process for turning visionary ideas into technology that we can use every day .
O,Thanks for taking the time .
O,I know how crazy busy you are all of you are .
O,So let's take the time to help these entrepreneurs here is really really beautiful .
O,Do you know where to start with you .
O,You're the Renaissance woman I mean it's amazing what you've done .
O,Tell us if you would . You went to UCLA .
O,I read that your engineers some UCLA members out there .
O,You studied engineering of laws I understand you got an MBA .
O,You did all the above .
O,I mean somehow you came up with this idea of using these satellites .
O,You tell us the genesis of that and how you made that shift .
O,Sure Tony .
O,I love space and satellite technology .
O,I grew up seeing the space shuttle being launched .
O,My father was completely awesome that we could leave the planet and begin to spread humanity through the solar system and ultimately beyond .
O,I grew up reading science fiction by Arthur C. Clarke and Robert Heinlein and I just felt that the Earth is a tiny part of this beautiful galaxy and it's the purpose of us humans to spread our civilization our beauty our happiness throughout the cosmos .
O,So I thought like well what can I was that for a mission .
O,How .
O,Yeah .
O,So I thought like well what can I practically do right now with that .
O,And I knew that there were rockets that one could buy and you could put satellites on the rocket and I knew satellites could do lots of cool things could track vehicles driving around could take photographs of crops and estimate weather conditions .
O,So I began to think well why couldn't we use satellites to broadcast radio so that people driving long distances wouldn't have to keep tuning to a different channel of the radio and that you could in fact have instead of just 10 or 20 channels in the city you could have hundreds of channels and every niche of radio every genre could be appreciated .
O,So I did all the calculations I put what age did this happen with you do you get the sense .
O,This was my 30s in the 30s and I put together all these calculations .
O,I submitted them to the Federal Communications Commission and ultimately they approved it .
O,I went to Wall Street .
O,I raised the money to launch the system and it's been one of the greatest joys of my life to be able to meet the hundreds and hundreds of people from all walks of life all corners of the country who have said that Sirius XM helps them get through each and every day of their lives .
O,They told me you give her but it's amazing .
O,How some of the stages in that growth you come up with that is a large idea to say the least and you go you sell the idea .
O,But how did you get your initial funding .
O,And were there some tough times in the beginning or were you able to just really take off with the right personalities and so forth .
O,You know Tony what really kept me going was the the science and the technology .
O,I did the math and I knew that the system would work .
O,But instead when you try to change something radical like this it seems like everybody tells you no it won't work
O,right .
O,But I mean a million people can tell you that two plus two is not four but you're not going to believe them .
O,You know two plus two is four .
O,So I did the what work are called in engineering the linked budgets the calculations to show it would work .
O,And when people would say no it's going to get blocked by trees it's going to get blocked by wires .
O,It's too far .
O,You can't have an antenna on a car pointed to the satellite .
O,I said Well let me do a demonstration for you .
O,So I built a antenna on top of the USA Today and that building across from Washington D.C. It's the tallest building in the Washington D.C. area .
O,And I made the power of that antenna equal to whether a satellite with broadcast and then I clipped a car with a flat antenna that was right inside the roof of the car .
O,I brought all the FCC people into the car and I drove around .
O,I drove through Rock Creek Park if any of you know Washington D.C. It's full of trees and the signal worked perfectly .
O,So then they couldn't say it wouldn't work .
O,Then I went to Wall Street and they said OK it works but nobody is going to listen to this .
O,Why should somebody pay for radio when you could get it for free .
O,I said well you pay for TV .
O,And they said well that's different .
O,I said No it's not .
O,But I found some investors willing to take a bet on this especially when I came up with a new model I said instead of people always being interrupted by commercials they could just pay a monthly subscription fee and get 100 different channels with no commercials .
O,People saying to me that on the very first day we launched the satellite there would be nobody to subscribe to it .
O,So I had to raise enough money to carry us through a few years .
O,But there were tough times and we were running a cash flow negative .
O,How much did you raise in the beginning of a man's job
O,over two billion dollars .
O,Wow .
O,And I will I'll tell you publicly and I've said this before and it's it's beautiful because our Howard Stern has said to me Martine you gave me my life this is my dream .
O,You've made all of this possible .
O,And I've said back to me I said no Howard you saved the butt of Sirius XM because never do we get more subscribers and more loyal people willing to pay for Sirius XM than after Howard came onboard .
O,Wow that's amazing .
O,And what made you believe Howard would be such a pull at that stage you were a New Yorker .
O,He was already very popular Howard was network in 10 different cities through Infinity Radio .
O,But there were rules out the government level that you could not own more than 10 radio stations .
O,So when I went to the FCC and I said I want to bring content like classical music like Howard Stern like deep track vinyl and whatnot I want to bring this to every single city in America .
O,Then what happened is the National Association of Broadcasters said that's illegal .
O,Why should you be able to own a radio station in fact 100 radio stations in every town and city and village and nook and cranny of America .
O,And we ABC Radio and CBS Radio We can only own 10 .
O,That's not fair .
O,And I said you know technology changes and you have to why should people living in smaller towns be deprived of the content that people get in New York City and Washington D.C. .
O,Fortunately the FCC agreed with me .
O,And even though people said what I was doing was unconstitutional and was going to you know destroy democracy in America all that book you know fell away .
O,And what I said to the FCC is truth and technology will always triumph over both and bureaucracy .
O,Awesome .
O,That's .
O,Weird . Where does this certainty come in so I can see I can understand the engineering side because you knew it was the fact you've figured it out .
O,But this belief that I can go raise billions of dollars this belief that I can change the rules completely .
O,Where does it come from in your life were you born with that .
O,Was there a stage in your life where you started to vote out certain you start more trust than yourself .
O,Where does it come from .
O,Yeah you know trust is a it's a something of a becoming and I don't think it's realistic to think you come from a position of no trust to complete trust in yourself .
O,And I look at I always say one of the adages that my company is that people who criticize you and challenge you are your best friends because those are the ones that are pushing you to think through things that you haven't thought through .
O,So when I started with satellite communications and designing the Sirius satellite it was in fact too big to fit into a rocket .
O,So the people that told me this was impossible were not entirely incorrect to make a satellite so powerful that you could blast a hundred channels into a flat antenna .
O,There were no rockets at the time large enough to carry that .
O,So I looked around the world I talked to the French company Aryan spots and they were just in the process of developing a much larger rocket .
O,So I said Well this is a perfect use for that larger rocket .
O,And they said yeah that that is and one thing leads to another Tony .
O,It's the same thing with a current company I have United Therapeutics .
O,When I said I have a medicine that can stop the disease that's ravaging my daughter's life .
O,People say you don't know anything about medicine you're a satellite engineer if if if it existed . Doctors and Scientists for they've invented it .
O,I wasn't sure but I kept doing the research and the more I learned the more certain I got .
O,So I think confidence is something that you have to build up bit by bit .
O,Yes .
O,Let's .
O,I want to go back to Syria .
O,But you've opened the door .
O,Talk about your daughter Genesis .
O,Tell us a little about what happened with her and how did you go from an engineer to biotech and build another billion dollar company .
O,Yeah .
O,So I'm I'm running serious and Ari we're skiing in Colorado and our youngest daughter suddenly her lips turned all blue .
O,She has no energy .
O,We went home .
O,We went to doctor after doctor .
O,Nobody can say what was wrong .
O,Finally she couldn't walk up the steps to the house and we end up at Children's National Medical Center the biggest children's hospital but the head of cardiology and she has said this . They said that she has a one out of every million person disease and she's going to die and three to five years .
O,So I just said like you know no that can't happen .
O,And they said I said there must be companies working on a cure .
O,No this is too rare of a disease .
O,No one's going to make a cure .
O,There must be some other medicine that could be repurposed to this .
O,No this is a disease that only affects the blood vessels between the heart and the lung and there's no way to just effect those little set of blood vessels and not affect all the other blood vessels in your body
O,so Tony I had no confidence I could do I could do anything in this area .
O,But you had to
O,have to save my daughter .
O,Yeah I had to save my daughter no matter what .
O,I want to just punch my fist through you know the strongest concrete wall to save her .
O,So I just sat there and said as I said before I kept learning and learning and talking to doctors and whenever they said something couldn't be done I figured one way around that .
O,And one of my favorite sayings is like it takes ninety nine no's to get a yes .
O,So people can tell me no ninety nine times and I appreciate every additional one of those notes because that's gonna get me closer to my yes .
O,And finally I was able to find in the in the library at this hospital an obscure publication of a drug that was being developed for a completely different disease .
O,But they know this to reduce the blood pressure just between the heart and the lungs .
O,And they said this is of no use to heart failure .
O,But I said wow that's exactly what I need .
O,So I made a beeline to that company Glaxo SmithKline .
O,I said to them I will pay you guys to develop this drug because by that time serious had gone public I had resources they said no we don't need your money we're a multi-billion dollar pharmaceutical company .
O,We're very sorry about your daughter but we don't develop drugs for orphan indications .
O,I said OK sell it to me I'll do it .
O,That wouldn't be ethical you're a satellite engineer you don't know anything about medicine .
O,We might be sued .
O,So I had to keep you know knocking on their door when they told me I didn't know anything about medicine .
O,I hired some medical doctors when they told me they would only license it to me .
O,I got lawyers to come up with the licensing .
O,Long story short I got that medicine out of there by the way when I got it hasn't come up that way .
O,Well I will tell you why I ran I ran because I felt like I was Jack and the beanstalk and I had just gotten the gold medal .
O,And I was running out of there before they changed their mind .
O,How long did this process take from the time you heard about Genesis real problems to the time you were able to find the solution .
O,18 months 87 incredible .
O,That's unbelievable .
O,Talk about a mother's love lifting up a Volkswagen private industry .
O,Tell us what's come out about what's happened to your daughter .
O,Important most important of all is that Genesis is alive and well and
O,she was supposed to live how long and how old does have been since then .
O,So it's been a journey United Therapeutics was formed in 2000 so we're not coming close to like 20 years .
O,She's been a hero throughout this whole effort after she finished college .
O,We just imagine Tony everybody through your whole life since you're a little kid is telling you you know you're going to die .
O,You have a deadly disease a fatal disease .
O,Bob Bob Bob
O,she surmounted all of that and then says what I want to do with my life is I want to work in this company Martine that you started to save my life and help everybody else with this in the case .
O,Wow .
O,Beautiful beautiful .
O,So she she inspires me each and every day here today to support me .
O,So what has happened is that our medicines it turns out by the way that when genesis was diagnosed there were two thousand people in the whole U.S. with this disease because almost everybody died within five years .
O,So people are constantly born with it and then they died .
O,So it only got to be 2000 people was the prevalence
O,today thanks to hard medicines the United States are over 40000 people live now .
O,Awesome .
O,I'll get it .
O,Ladies and gentlemen .
O,So I think what is happening is that as we've been successful it's like this Nelson Mandela quote It's okay to shine .
O,It's okay to be full of pride in what you've accomplished because when you do that you inspire everybody else to come in and do the best of themselves .
O,That's why I love you so much Tony and I love everything about the way that Tony Robbins activity because you let all of us shine and be the best people that we can do that automatically your stuff is beautiful .
O,Thank you .
O,So people began calling emailing writing .
O,I have an aunt and uncle a cousin a brother or sister with a rare disease .
O,And I was scared because you know I didn't even really know what I was doing with Genesis .
O,I was just going one step at a time and I still had never taken a biology course since high school .
O,So it was it was scary .
O,But bit by bit we began working on more and more rare diseases and I perhaps the most astonishing one was five years ago when we developed a drug that cures half of all the instances not 100 percent but at least half of our terrible childhood our rare cancer called neuroblastoma .
O,Yes .
O,So before we got this approved by the FDA five years ago and before we got it approved it's a horrible disease and a horrible death .
O,And 100 percent of the kids with this would die including like a brother of one of our board of directors many other people
O,today . Half the people with this disease that take our medicine five years after they've taken it they have no disease at all .
O,It never goes and comes back .
O,They go on and they live their whole lives happily ever after .
O,Incredible .
