B-AD,"Support for this American life comes from Capital One with the Capital One , Quicksilver Card with Quicksilver ."
I-AD,You earn unlimited 1.5 percent cashback on every purchase everywhere .
E-AD,What's in your wallet ?
O,"From WBEZ Chicago , it's This American Life ."
O,I'm IRA Glass .
O,"All right , you're turning the laptop starting so we can both watch us ."
O,"That's my co-worker , Emmanuel Barry , sitting up to show me a clip from an old film on her computer ."
O,This is something that she's showing lots of people since she first saw it .
O,It's an old Soviet movie from 1936 .
O,So this is a film called The Circus .
O,It's kind of like the Russian version of It's a Wonderful Life .
O,It's like that classic black and white movie that comes on TV all the time .
O,It's like heartwarming that everybody knows .
O,"But then when I saw it was happening , I was like , what is happening ?"
O,"Yeah , I got to play ."
O,So there's this beautiful blonde woman .
O,She's singing like in the center of the circus tent .
O,She's an American who has come to Russia to perform .
O,"And then this man does start screaming , stop the show , stop the show ."
O,So let me explain who he is .
O,He's German .
O,"To be honest , he looks a little like Hitler ."
O,"The mustache , whatever ."
O,"Oh , and it's 1936 ."
O,So Hitler is on the rise .
O,Yes .
O,And he's in love with this American circus star .
O,But she's rejected him .
O,"And so to get revenge , he is going to reveal her secret to the world , the secret that she's been keeping throughout the entire film ."
O,And then he brings out this black baby .
O,Then the baby's like a toddler .
O,"Sighs Yeah , maybe maybe two ."
O,"And then the German , he runs up the stairs and he holds the baby up almost like Simba ."
O,And he starts shaking the baby and screaming .
O,She slept with a Negro child .
O,She gave birth to a black child .
O,You're reading the subtitles .
O,Now he's shaking this child over and over again .
O,He's like a black child .
O,A black child .
O,"And then this guy comes up to him , this this Russian guy in the audience , and he's like , what's the problem ?"
O,And then this is a black child .
O,A white woman gave birth to a black child while the Russian guy just literally shrugged his shoulders .
O,Yeah .
O,"He shrugged his shoulders and he says , So what ?"
O,And the German guy goes off on this speech and puts the baby down .
O,"And the toddler , he just sort of walks off ."
O,"And people in the audience , the ."
O,They sweep the baby up in their arms to protect the baby from this guy .
O,Yeah .
O,And so they're passing this black kid around all of his white Russian folks .
O,And they're laughing at the guy .
O,Yeah .
O,"He's like , why are you laughing ?"
O,Why is this funny ?
O,"Remember , it's nineteen thirty six in the U.S. were more than 30 years before ."
O,Interracial marriage is legal everywhere .
O,"I mean , it's Jim Crow ."
O,Black people are still being lynched .
O,"I'd like to see this scene where this guy is being told by all these white people , mind you like , you're crazy ."
O,This is no big deal .
O,Like what is happening here ?
O,"And as I started to do more research , I learned that this was part of Soviet propaganda for decades ."
O,"This message , America is racist ."
O,We are not .
O,"In the 1920s and 1930s , African-Americans , they actually moved to the Soviet Union because it was promising a better life like the boy in the film ."
O,That Black Baby is actually the son of an African-American who moved to the Soviet Union in the 1930s .
O,Wow .
O,"And I haven't gotten to the last bit of the scene , which is actually my favorite part of the whole thing ."
O,"So this , like , Russian woman is like cradling the baby , rocking it back and forth ."
O,"And then she starts singing to him , Mr. Dreams , stepping soft , make it Hino noise ."
O,"Yes , so she's totally putting this baby ahead and putting the baby to sleep ."
O,Yeah .
O,And then she passes the baby to like this next person .
O,And it just becomes this thing where they're embracing this child one from the next .
