B-AD,Hey all you vinyl heads .
I-AD,You can now get my most recent standup special too real as a double LP .
I-AD,Go to pod swag dot com slash w f or click on the merch link at WTS podcast .
E-AD,Get yourself a signed copy and while you're there grab some t shirts posters and other WTO related stuff .
O,All right .
O,Okay let's do the show .
O,All right let's do this .
O,How are you .
O,What the fucker is what the fuck buddies what the fuck Easters .
O,What's happening .
O,How's everybody doing .
O,Are you OK .
O,It's a little tricky .
O,These these next couple of shows .
O,Well this show and Thursday were pre-recorded last week because my my business partner and a genius producer Mr. Brandon MacDonald is taking a well-deserved vacation .
O,So .
O,So we had to get these in the can .
O,The only reason I'm bringing it up is because of the Buster Keaton arc .
O,The emergency of his illness is now is now an arc .
O,Things are better with Buster and I'll tell you about that .
O,I do want to say this .
O,We have the one thousandth episode coming up yet .
O,That's a lot .
O,It's like almost a decade and well .
O,OK so you know I like to read your e-mails on the air so I want to hear any questions you might have .
O,As we approach this milestone 1000 episodes you know just e-mail me you know any questions about any of the thousand episodes of the show or any past guest that you want some follow up on it you can ask me questions personally questions about what goes on off the mike and behind the scenes or any advice you think I might be able to dispense .
O,I'm willing to give that a shot if you want to just talk about your relationship with the show .
O,I would just like to hear from you all in all these different ways in any way you want .
O,I'm inviting you to a to go ahead and send that send these things to me at WTS pot at gmail dot com .
O,And if you could get us the questions by the end of the month that would be good .
O,Anything you want to know anything you want to say anything I can maybe tell you .
O,Just anything .
O,As we head into this big show the thousandth show .
O,So did I mention that Mandy Moore is here today .
O,What a charming woman .
O,She came with cookies .
O,She came with fucking cookies and you know I'm a little I've been a little crazy with the diet and I think it's funny she brought a box of cookies I didn't even realize what they were .
O,I just kind of was like Oh my God .
O,Fuck yeah .
O,Why thank you .
O,And then I went .
O,After she left I realized they were a mirror cookies which are healthier .
O,And I put him in a freezer and got to be honest with you .
O,I had Mandy Moore on like it's been a couple of weeks and I only eight two of them .
O,And then just you know not even a day off .
O,I put him in the freezer as I said and then what you do is you stick him in the warming up and just put an oven like the little oven on warm put him in there for five minutes and it's like they're fresh out of the oven and I hate those fuckers .
O,The weird thing is that I don't know maybe it's because I'm eating so clean I eat one cookie the next day I felt I got four beers I was hung over .
O,Does that does that thing that happens .
O,Kind of fucked me up a little bit a little bit .
O,So Buster Keaton as you know the last you heard unless you're on Twitter you know he was in the hospital and it was not looking great .
O,He had the kidney failure .
O,And then I ended up getting an ultrasound and then I ended up getting a cancer test the day of both of those things his numbers had come down a lot but the vet that I went to she was like yeah these numbers that came down but don't get excited .
O,It's probably just the fluids .
O,I don't know .
O,So we did these other tests but it just like was just a bummer .
O,And I was gonna leave in there for two two more nights because I don't give a fuck about money apparently because I love this little cat and I don't have kids I don't have a wife I don't have debt and I'm not a big spender so we're gonna save a little fucking buster if we can .
O,That's the way this is going to work .
O,So the next day just to you know I locked into this idea that she was just basically telling me that there is no hope for this cat and I and I thought I'd been in denial .
O,Yeah I was in one of the stages of grief so that you know the day the morning of the ultrasound and ultimately the genetic cancer test she calls and she's like these numbers are great they're almost normal now .
O,I don't know .
O,And I'm like well what do you mean like I don't know .
O,They're almost normal .
O,We're going to let him out today and he doesn't have cancer .
O,So I brought him home .
O,I went down there I picked him up I brought him home IV cat kidney food for him and I've got subcutaneous fluids .
O,I have to a skin pop my cat .
O,I got it .
O,I got to shoot up my cat and more I got to get him an I.V. drip going into him for a little bit of water fluids .
O,So that was a new experience .
O,He we're learning new things .
O,I can .
O,You know it's funny when you have to do something you've never done like that before and you've got to stick a needle into a cat and sit there with it while this fluid drips in .
O,I get in the right mindset .
O,I'm more like it's weird what I learn about my brain is that like I do prepare I may not write things down but in my mind I'm like OK you know get a plan how you know you know how to do this you were shown how to do this just do it be confident about it be you know be present and do it and that and that's sort of like I do that a lot .
O,And I don't really realize it .
O,I don't know if that's preparedness .
O,But but like I gotta get myself psyched up I guess everybody does where I'm like you know don't doubt yourself just do it just put the needle in if something fucks up it fucks up you're not going to kill the cat unless you know you do something insanely stupid like jammin into his skull so I gave him the fluids but he's eating like mad because he hasn't eaten in days and he's he's he's very excited and happy and rubbing his head on everything and purring and again by the time you hear this a lot of days have gone by but this is what's happening so this is where you're checking in and I don't know what's going to happen hopefully progress will continue and you know that's good news I really thought he was a goner .
O,I'd really gotten into my head that I was going to have to put him down or I was going to bring him home and he was gonna be incredibly compromised .
O,Now granted this is only day one of him being home so we'll see what happens .
O,But yeah I'm cautiously optimistic .
O,So the Buster emergency situation has been downgraded now to an ark .
O,But either way it's just interesting with veterinarians with regular doctors how much they don't know .
O,And you know what .
O,Anyone out an animals going to do human or non-human and just that and we don't know if it was a toxic thing or infection but I guess what it isn't it seems is chronic renal failure .
O,Not today not today .
O,And you know what's ironic is that Mandy Moore and myself we start right at the beginning of our conversation we're talking about cats and it was two weeks ago and I was talking about and we're talking about dead dying cats .
O,I was talking about you know having to deal with the inevitability of my old cats going but I was like but I got this new guy .
O,He's only two and he'll be around for a while and then fuck and ironically he's still around but you know he's the one who got sick but he's OK he's OK .
B-AD,As of this recording postage rates have gone up again folks which is one of the reasons I always tell you to use stamps dot com with stamps dot com you never have to worry about postage rate changes because stamp scam calculates it for you but you also get five cents off every first class stamp and up to 40 percent off priority mail .
I-AD,That kind of savings really adds up especially for small businesses .
I-AD,And you do all of this online which save you time .
I-AD,No more trips to the post office in the middle of the day buy and print official U.S. postage for any letter any package any class of mail .
I-AD,Using your own computer and printer .
I-AD,Let me make that all clear .
I-AD,You'll never overpay or underpay on your packages again .
I-AD,You actually get discounts on postage and anything you can do at the post office .
I-AD,You can now do from your desk for less or your dining room table or your work room or your garage .
I-AD,Those are great reasons to use stamps dot com .
I-AD,It's why we've been using stamps dot com for WTS going on eight years now .
I-AD,If you're a WTS listener you can get a special offer that includes a four week trial plus free postage and a digital scale .
I-AD,See for yourself by more than 700000 small businesses use stamps dot com .
I-AD,Just go to stamps dot com click on the microphone at the top of the home page and type in WTS that stamps dot com .
I-AD,Enter WTS who man I got to pee .
I-AD,Is that a mile .
E-AD,Just hold it so OK .
O,This is something you need to know .
O,On a lighter note I .
O,OK .
O,I've been listening a bit Steely Dan and we've covered it all right .
O,You know some guy said I was going to be cursed and I'm not sure I'm not .
O,I'm not sure there wasn't a message in that .
O,Like as I told you then some you know like four years I was just like this Steely Dan annoying people like Steely Dan annoying .
O,You know just boring sterile soloists or whatever but then a couple of weeks ago as I talked about here on the podcast I I took turned a corner because I heard it in a different way .
O,But then I kind of got like then I was like I got to listen to all of it .
O,So I listened to all of it and I like it .
O,And the songs that I remember liking from you know just hearing them constantly you know they took a different life in my mind a little bit .
O,But like again I like it .
O,I get it .
O,I like it .
O,Not crazy about it .
O,But here's the fucking problem .
O,It's it's like OK how do I say this .
O,Steely Dan in my head I believe is starting to feed on the other music I enjoy in my head .
O,I think it's got a viral component to it .
O,I think it's it's it's parasitical .
O,Steely Dan in your head is like a parasite that eats the other music that you like because all of a sudden all the songs that are stuck in my head are Steely Dan songs .
O,And if I want to listen to I want listen to some stooges and that got Steely Dan song in my head .
O,It's not that I'm going to to listen to this Steely Dan but I think it's I think the music that I put in my head already is starting to feed on some of my other feelings about other music and I got to put a stop to that .
O,I have to get some anti Dan going .
O,I've got to .
O,There's got to be some sort of vaccination .
O,So now I've got to put together a Steely Dan disease vaccination song list in order to to sort of balance my brain and perhaps cleanse it from the viral nature of Steely Dan music .
O,So that said that was .
O,This is the price I'm paying for finally learning how to appreciate Steely Dan at this age .
O,Maybe if I was younger this tragedy would have happened but because I was older I dumped it all into my head at once .
O,Something bad is happening up there but I think I have the remedy for it .
O,I've plenty of music to start pushing back as an antiviral against the Steely Dan fucking ear worms that I've unleashed in my head .
O,Huh .
O,I'll be all right .
B-AD,We live in a world where we have so much access to data that gives us insight into who we are .
I-AD,But with more than one hundred twenty five genetic reports 23 and Me allows you to go beyond ancestry to access more personalized insights based on your DNA .
I-AD,You can even gain insights into your health traits and more with reports like the deep sweep report .
I-AD,If you've always suspected that you feel sweep year than others after missing a night of sweep your genes may be involved or the alcohol flush reaction report which details the genetic factors that make it hard for some people to process alcohol .
I-AD,There's also the saturated fat and weight report which can tell you about how your genetics may impact your body's response to your diet .
I-AD,Those things are all important but I was very happy to read my report which said that asparagus making my pee smell is actually a genetic trait .
I-AD,How many sleepless nights have you spent wondering about that .
I-AD,Now you know it's goes back generations see your great great great great grandfather probably after your experiments peed and said whoa see what your genes can say about your health your personality traits and more by your health and ancestry service kit .
I-AD,Today at 23 and Me dot com so I WTS .
E-AD,That's the number two three and me dot com slash WTS .
O,So Mandy Moore was lovely .
O,She was one of these people that came over and right away I'm like Oh I am in the presence of a star .
O,She's just got that charisma where you're kind of like I'm sitting across from a special person .
O,Yeah .
O,And she brought cookies .
O,So I don't know maybe they're connected but again we did start talking about cats and the irony is is that you know Buster was the guy I was like you know that guy is gonna be great .
O,And he he got sick but he's better he's better today .
O,Mandy of course is on the show .
O,This is us .
O,It airs Tuesday nights at 9 p.m. Eastern on NBC .
O,And this is me talking to her .
O,I don't think you asked though and I think Cuccinelli made it two years but we .
O,But we knew he had symptoms like he started walking like really close to the floor and like like fucked up really .
O,Yeah .
O,And so we brought it in got x ray and the guy told us that he had enlarged heart .
O,He said it wasn't gonna live long like you didn't .
O,Oh yeah see our vet .
O,We should be having some sort of health issues but it was related to like she didn't like an inflamed colon or something .
O,It was like a gastro .
O,Right .
O,Right .
O,And then we took her to like 50 different vets and she had series after series of tests .
O,Yeah .
O,And then the last vet we brought her to you know did an X-ray .
O,I said Do you know she has an enlarged heart .
O,It's nothing to worry about come back in a year and we'll check on it but this thing it's like it's catastrophic when it happens it's like someone having a heart attack .
O,Yeah .
O,Yeah .
O,And it just like he just died she just .
O,Well we brought her into the vet but I mean I was sitting in the back with her holding her and I could just tell like there is how do you come back from that .
O,I was like she like I'm not sure she'll ever be able to walk again .
O,It was incredibly traumatic .
O,It's 11:00 the day before we got married .
O,Oh my God .
O,Sobbing all night for the cat for .
O,I mean you know it's there part of your family .
O,You know it's weird .
O,I've had the two I have are like 15 almost so I've had the longest relationships I've had with any living thing .
O,With them parents and they're they're healthy .
O,But I know at some point I mean they're 15 .
O,That little guy Buster he's like two and so you know two years he just showed up at the old house .
O,Sure .
O,I used to live in Highland Park .
O,Yeah .
O,Like I live by .
O,Like you're you're married to the dog guy .
O,Yeah .
O,What's his name .
O,Taylor .
O,Taylor .
O,Well that's nice .
O,Yeah .
O,Ron you know Boston the AMP guy .
O,Oh yes I know Austin .
O,Yes I've met him .
O,Austin who lived around the corner from me and he fixed this name for me it took it took me many many months for Austin to chase down the buses in the sand and I guess I met Austin through Blake like I'm not through Blake Miles right .
O,And I'm not a real you know musician guy .
O,I just happened to meet these guys .
O,Because they come on the show .
O,Yeah .
O,And Blake sort of a guy named Guy Mike that it's all high end from you know Justin then .
O,But I it's too bad you don't know Austin Well because I don't know if he remembers your husband's band uses those projector amps that Austin makes sure you probably know way more than I do .
O,It looks like a film projector .
O,OK sure .
O,Yeah yeah .
O,Because it's from an O .
O,Doesn't matter .
O,I saw it for some reason I have Austin's prototype projector up that he built with his dad .
O,I have it still because he told me to just hold on to it because he wanted me to try it years ago .
O,I mean he didn't he want me to hold onto it so he wouldn't sell it and I still have it .
O,You do .
O,I don't know if you remember it does well .
O,Maybe he'll listen to this and call you to it .
O,I never I don't use it .
O,Maybe he will .
O,So you're you're married to a rock guy and married to Rocky .
O,Yeah .
O,The second rocker secular rock .
O,I clearly I'm a glutton for punishment or I have a tape ha .
O,Yeah well I .
O,OK we don't have to start there .
O,I'm trying to ease into that .
O,Yeah yeah yeah .
O,I want to I tried to get caught up on this is us but I just bounced around a lot .
O,Yeah .
O,And I it does something tells me it's not your type of show .
O,No but the thing is it could it is kind of really .
O,Yeah .
O,Because like I like to cry .
O,I don't necessarily want to to be public about it to .
O,Understand but I found that even jumping around that it seems like every five minutes in that show you can cry if necessary if you want to but it is you feel compelled .
O,It's designed like that .
O,I think termination .
O,It's designed to like yeah tap into the human condition and what makes us tick so yeah .
O,And at any given moment in a cry just now just now just hey now listen in Utah is they're just sort of right there for they are at all time are they .
O,Yeah for you too .
O,Yeah .
O,Yeah .
O,I feel like the older I get for sure .
O,What is that .
O,Why are we .
O,Is it good .
O,I mean why not .
O,Just getting choked up all the time .
O,So what now .
O,You didn't grow up here .
O,I grew up in Florida .
O,Oh my God .
O,I know .
O,I'm sorry .
O,It's a weird place to grow up .
O,It's a weird place for anything .
O,Yeah .
O,So how did you get to Florida .
O,Do you start in Florida .
O,Yeah I was I was actually born in New Hampshire but both my parents are from Orlando .
O,No New Hampshire is nice .
O,New Hampshire is beautiful but I was there for six weeks .
O,That's Aaron's town .
O,They just ran away to have you .
O,They didn't want anyone to know anything about it .
O,It was too cold for them .
O,I really couldn't hack it .
O,So they moved there and they just left .
O,My dad is a pilot for American air health .
O,Mm hmm .
O,Really .
O,I bet you I've been on this plane .
O,I bet you have .
O,I'm very often more .
O,I don't remember that .
O,I'm very loyal to American Airlines .
O,So am I .
O,Yeah I have to be like he would have to be requisite .
O,We pray a little bit of a break I would imagine I might say I want to fly standby .
O,Who has time for that .
O,No no no no I'm not .
O,I'm Mandy Moore can't be standing there watching not people just know where you're going .
O,I understand but is a little .
O,Oh my God .
O,We flew standby and flew first class .
O,If he was available .
O,Yeah it was .
O,You got .
O,You guys are special .
O,Well what about special .
O,Well what if what if your dad's actually flying the plane .
O,I've never flown on a plane with my dad before .
O,He never did the cockpit thing .
O,How could you pass up .
O,He never offered .
O,Just when we were growing up he flew a lot to Lake south in Latin America and there was really no need for us to go and like any family vacations or any drug mule .
O,Back when you were a kid .
O,Not as a child .
O,No .
O,But now he flies mostly to London and Tokyo .
O,So why did he start in the air force now .
O,He was just a civilian pilot always .
O,Wow that's a I think that's a pretty .
O,There's something unique and special about that job there .
O,There you see there these weird kind of a they're national heroes that aren't identified with an ideology but there's something heroic about just being a commercial air pilot .
O,Were you like you know .
O,Yes sir .
O,But I will pass that on to him .
O,Yes .
O,So happy to hear that .
O,But it's not tied like you to I get .
O,They get that they have no affiliation .
O,Right .
O,Right .
O,So there's no reason to hate commercial air pilots or be judgmental of their cause .
O,Sure .
O,They're just trying to get people there safely .
O,Yeah yeah .
O,No .
O,Tom thanks .
O,I know I know .
O,Thanks for a service .
O,What was your mom do .
O,My mom was just Mom .
O,Yeah .
O,Do you have brothers and sisters .
O,I have an older and a younger brother .
O,How are they doing .
O,They're good .
O,Yeah they're out here .
O,Oh yeah .
O,You're trying their hand at the thing behind the scenes .
O,Oh yeah .
O,Like gapping or even being in production coordination .
O,Yeah well that's that's the grunts on the ground there .
O,Ron grunts I'm sorry .
O,I just wish a Vietnam episode so my .
O,Wait are you watching the the Ken Burns virally watch .
O,Oh you know this is us .
O,Yeah I was just in Vietnam earlier today .
O,Oh good gracious .
O,Yeah .
O,Sam used the word grunts and you know kind of this one an hour Terry thing .
O,I just I just declared your father a national hero for being a commercial pilot .
O,So tell me about surviving Florida .
O,Because look I know my mother's down there .
O,You know I have grown to appreciate Florida more but it's it's a freak show and I don't know about it that far down .
O,Like you don't need there or land .
O,I try to know as little as possible .
O,We wish .
O,She's in northern Florida .
O,No we don't .
O,So I don't know .
O,I know I don't know for it .
